Source,Target,Relationship
Pew Research Center,Pachu Kannan,P
The New York Times,Pachu Kannan,P
The New York Times,Pachu Kannan,P
Reuters,Pachu Kannan,P
Latin Times,Pachu Kannan,P
Ynetnews,Pachu Kannan,P
AOAV,AnomieBOT,P
AOAV,Smallangryplanet,P
OHCHR,Smallangryplanet,P
Axios,Smallangryplanet,P
Foreign Affairs,AirshipJungleman29,P
CBC News,AirshipJungleman29,P
The Wall Street Journal,AirshipJungleman29,P
The Times of Israel,Pachu Kannan,P
Arab News,Pachu Kannan,P
AOAV,Pachu Kannan,P
Airwars,Achmad Rachmani,P
CBS News,Pachu Kannan,P
The Times of Israel,Pachu Kannan,P
The Guardian,Pachu Kannan,P
The Lancet,AirshipJungleman29,P
AOAV,AirshipJungleman29,P
Journal of Genocide Research,Mr rnddude,P
The Guardian,Mr rnddude,P
CNN,Mr rnddude,P
OHCHR,Achmad Rachmani,P
Institute for the Study of War,Achmad Rachmani,P
OHCHR,Asr1014,P
Journal of Genocide Research,إيان,P
The Guardian,إيان,P
CNN,إيان,P
Al Jazeera,Cdjp1,P
UN OCHA,Cdjp1,P
Journal of Genocide Research,Smallangryplanet,P
The Guardian,Smallangryplanet,P
CNN,Smallangryplanet,P
Al Jazeera,EvansHallBea,P
The Lancet,EvansHallBea,P
The Washington Post,Alaexis,P
The New Arab,Alaexis,P
Brookings Institution,Davefelmer,P
Committee to Protect Journalists,Davefelmer,P
The Guardian,Butterscotch Beluga,P
OHCHR,Butterscotch Beluga,P
The Times of Israel,Pachu Kannan,P
The Jordan Times,Pachu Kannan,P
CBC News,AirshipJungleman29,P
CNBC,AirshipJungleman29,P
Al Jazeera,AirshipJungleman29,P
UN News Centre,AirshipJungleman29,P
The New York Times,AirshipJungleman29,P
Brookings Institution,Achmad Rachmani,P
Amnesty International,Davefelmer,P
B�Tselem,Davefelmer,P
International Federation for Human Rights,Davefelmer,P
Vox,Davefelmer,P
The Guardian,Davefelmer,P
BBC News,Davefelmer,P
Reuters,Davefelmer,P
NRC,Davefelmer,P
MSNBC,Davefelmer,P
The Washington Post,Davefelmer,P
The Lancet,Davefelmer,P
Brookings Institution,Davefelmer,P
