Source Name,Source Type,Count
The New York Times,Global Media,39
The Washington Post,Global Media,19
The Guardian,Global Media,25
CNN,Global Media,24
Fox News,Global Media,6
MSNBC,Global Media,4
CBS News,Global Media,11
USA Today,Global Media,8
ABC News,Global Media,9
Bloomberg,Global Media,3
France 24,Global Media,1
Al Jazeera,Global Media,15
BusinessWeek,Global Media,1
PBS,Global Media,8
Military Times,Global Media,3
Novinite,Global Media,2
The Independent,Global Media,12
BBC News,Global Media,27
Los Angeles Times,Global Media,3
San Francisco Chronicle,Global Media,1
U.S. News & World Report,Global Media,2
The Huffington Post,Global Media,4
,Global Media,1
The Australian,Global Media,1
Asia Times,Global Media,2
The Wall Street Journal,Global Media,1
Telegram & Gazette,Global Media,1
Herald Sun,Global Media,1
News.trend.az,Global Media,1
International Herald Tribune,Global Media,6
The Christian Science Monitor,Global Media,1
Journal-Gazette,Global Media,1
The Atlantic,Global Media,3
Cape Cod Times,Global Media,1
NBC News,Global Media,12
The Sydney Morning Herald,Global Media,2
The Jerusalem Post,Global Media,1
The Local Denmark,Global Media,1
Daily Star,Global Media,1
Hurriyet Daily News,Global Media,1
The Star,Global Media,1
Chicago Daily Observer,Global Media,1
The Hill,Global Media,1
DW,Global Media,2
Iraqi News,Global Media,2
The Spectator ,Global Media,1
The Week,Global Media,1
UPI,Global Media,1
Arab Times,Global Media,1
Haaretz,Global Media,1
Ynetnews,Global Media,1
CBC News,Global Media,2
Newsweek,Global Media,1
The Nation,Global Media,1
Daily Telegraph,Global Media,2
Time Magazine,Global Media,1
The Age,Global Media,1
Free Internet Press,Global Media,1
El Pais,Global Media,1
VOA,Global Media,1
NDTV / Indian Express,Global Media,2
The Diplomat,Global Media,1
The Chicago Tribune,Global Media,1
US Department of State,Official,3
US Department of Defense / Pentagon / DoD / Defenselink,Official,8
UK Ministry of Defence,Official,2
US Department of Labor,Official,1
Library of Congress,Official,1
George W. Bush / White House,Official,4
Military Casualty Information,Official,1
Australian Department of Defence,Official,1
US Army / US Army Center of Military History / army.mil / news briefings,Official,7
US Navy,Official,1
Central Intelligence Agency,Official,1
Justice.gov / DOJ,Official,1
Embassy of the United States,Official,2
Hansard / UK Parliament,Official,1
C-SPAN,Official,1
U.S. Congressional Reports / CBO,Official,3
U.S. Government Printing Office,Official,2
Multi-National Force – Iraq,Official,1
American Forces Press Service,Official,1
Office of the Director of National Intelligence,Official,1
U.S. Institute of Peace Press,Official,1
ReliefWeb,NGO / Policy / Advocacy,2
Council on Foreign Relations / CFR,NGO / Policy / Advocacy,3
Project on Defense Alternatives,NGO / Policy / Advocacy,2
Brookings Institution,NGO / Policy / Advocacy,2
Center for American Progress,NGO / Policy / Advocacy,2
CSIS / Center for Strategic and International Studies,NGO / Policy / Advocacy,3
Institute for the Study of War,NGO / Policy / Advocacy,1
Washington Institute,NGO / Policy / Advocacy,2
Pew Research Center,NGO / Policy / Advocacy,1
ICM Research,NGO / Policy / Advocacy,1
Arab American Institute,NGO / Policy / Advocacy,1
Oil Change International / Institute for Policy Studies / War on Want / Platform / Global Policy Forum,NGO / Policy / Advocacy,1
Red Crescent,NGO / Policy / Advocacy,1
Oxfam,NGO / Policy / Advocacy,1
Alertnet.org,NGO / Policy / Advocacy,1
Green Party,NGO / Policy / Advocacy,1
Human Rights Watch,NGO / Policy / Advocacy,2
Amnesty International,NGO / Policy / Advocacy,3
MADRE / Organization of Women's Freedom in Iraq,NGO / Policy / Advocacy,1
Inter Press Service (IPS),NGO / Policy / Advocacy,2
Middle East Institute,NGO / Policy / Advocacy,1
Human Rights News,NGO / Policy / Advocacy,1
Association for Diplomatic Studies & Training,NGO / Policy / Advocacy,1
Scarecrow Press,Academic / Journals / Books,1
Strategic Studies Institute (SSI),Academic / Journals / Books,3
The Lancet,Academic / Journals / Books,3
New England Journal of Medicine,Academic / Journals / Books,2
PLOS Medicine,Academic / Journals / Books,1
Politics and the Life Sciences,Academic / Journals / Books,1
Army History (JSTOR),Academic / Journals / Books,1
Intelligence and National Security,Academic / Journals / Books,1
Liverpool University Press,Academic / Journals / Books,1
Oxford University Press,Academic / Journals / Books,1
The American Institute of Physics (AIP),Academic / Journals / Books,1
Environmental Health Journal,Academic / Journals / Books,1
Medicine Conflict and Survival,Academic / Journals / Books,1
Conflict and Health,Academic / Journals / Books,1
Environmental Politics,Academic / Journals / Books,1
Washington Quarterly,Academic / Journals / Books,1
Fletcher School Tufts University,Academic / Journals / Books,1
London Review of Books,Academic / Journals / Books,2
Gunaratna Rohan,Academic / Journals / Books,1
Stephen Eric Bronner & Kurt Jacobsen,Academic / Journals / Books,1
Hafez Mohammed M.,Academic / Journals / Books,1
Bob Woodward – Plan of Attack / The War Within,Books / Sources,6
Robert Fisk – The Great War for Civilisation,Books / Sources,1
Thomas E. Ricks – Fiasco,Books / Sources,3
Mike Tucker & Charles Faddis – Operation Hotel California,Books / Sources,1
John Keegan – The Iraq War,Books / Sources,4
Bing West & Ray L. Smith – The March Up,Books / Sources,1
Michael R. Gordon & Bernard E. Trainor – Cobra II & The Endgame,Books / Sources,4
Philippe Sands – A Grand and Disastrous Deceit,Books / Sources,1
Ephraim Kahana & Muhammad Suwaed – The A to Z of Middle Eastern Intelligence,Books / Sources,1
W.W. Norton & Company / 9-11 Commission Report,Books / Sources,1
Penguin Books,Books / Sources,1
UN / UNSCOM,UN / International Organizations,1
UN / Kofi Annan statements / UN Security Council,UN / International Organizations,6
UN News Centre,UN / International Organizations,1
United Nations / UNAMI,UN / International Organizations,3
International Organization for Migration,UN / International Organizations,1
IEA,UN / International Organizations,1
