Source,Target,Relationship
United Nations / UNAMI,YAC-med-2010,P
Amnesty International,YAC-med-2010,P
MADRE / Organization of Women's Freedom in Iraq,YAC-med-2010,P
PBS,1,P
Washington Institute,1,P
Politics and the Life Sciences,AnomieBOT,P
The Long War Journal,Socialwave597,P
CBS News,Wafflefrites,P
Gallup,Wafflefrites,P
The New York Times,Wafflefrites,P
Vox,Wafflefrites,P
Middle East Institute,BasselHarfouc,P
The Washington Institute for Near East Policy,BasselHarfouc,P
ABC News,GreenC bot,P
CBS News,Kappa790,P
USA Today,Person by the Tuatnark,P
Asian Tribune,Person by the Tuatnark,P
USA Today,Person by the Tuatnark,P
GlobalSecurity,Person by the Tuatnark,P
The New York Times,Lardlegwarmers,P
Pew Research Center,Lardlegwarmers,P
The New York Times,Lardlegwarmers,P
Logos Journal,InternetArchiveBot,P
Vox,InternetArchiveBot,P
CNN,InternetArchiveBot,P
U.S. News & World Report,AnomieBOT,P
Oxford University Press,Ben Azura,P
Ayad Allawi,Ben Azura,P
The New York Times,Ben Azura,P
Brookings Institution,Nihlus1,P
The Washington Post,Nihlus1,P
The Seattle Times,Nihlus1,P
Council on Foreign Relations / CFR,Ali aj809,P
George W. Bush / White House,Ali aj809,P
People’s Daily,User-duck,P
CBS News,Swatjester,P
The Washington Post,Swatjester,P
Cape Cod Times,Swatjester,P
Metro,Tpbradbury,P
Reuters,Tpbradbury,P
Harvard Kennedy School,Tpbradbury,P
The Washington Post,Tpbradbury,P
The Watson Center,Tpbradbury,P
Pew Research Center,InternetArchiveBot,P
Reuters,GreenC bot,P
The New York Times,SerChevalerie,P
The Guardian,Sm8900,P
CBS News,Sm8900,P
Politico,Sm8900,P
Time Magazine,Sm8900,P
Talking Points Memo,Sm8900,P
Democracy Now,Sm8900,P
The Guardian,Sm8900,P
CBS News,Sm8900,P
Politico,Sm8900,P
Time Magazine,Sm8900,P
Talking Points Memo,Sm8900,P
Democracy Now,Sm8900,P
The Independent,Aksel 5001,P
NPR,Dgorsline,P
Fox News,Citation bot,P
National Air and Space Museum,SavagePanda845,P
People’s Daily,Repertoire18,P
GlobalSecurity,OzmoOzmo,N
The New York Times,Nikkimaria,N
The Long War Journal,Swatjester,N
The New York Times,Wafflefrites,N
Vox,Wafflefrites,N
BBC News,Wafflefrites,N
Foreign Policy Association,Wafflefrites,N
The New York Times,Wafflefrites,N
USCIS,Wafflefrites,N
UNHCR,Wafflefrites,N
The New York Times,Wafflefrites,N
The New York Times,Wafflefrites,N
"Cordesman, Anthony H",Wafflefrites,N
The Wayback Machine,GreenC bot,N
The New York Times,NeyTwoStep,N
MSNBC,Kappa790,N
The Washington Post,Kappa790,N
Politifact,Kappa790,N
McClatchyDC,Kappa790,N
Vox,Kappa790,N
The Weekly Standard,Kappa790,N
Center for American Progress,Kappa790,N
Fox News,Kappa790,N
International Business Times,Kappa790,N
Politico,Kappa790,N
The Independent,Kappa790,N
Pew Research Center,Kappa790,N
ABC News,Kappa790,N
CNN,Kappa790,N
Associated Press,Kappa790,N
ReliefWeb,Person by the Tuatnark,N
Hello News 352,Person by the Tuatnark,N
Federation of American Scientists,Person by the Tuatnark,N
Brookings Institution,InternetArchiveBot,N
Fox News,GreenC bot,N
Council on Foreign Relations / CFR,Slatersteven,N
George W. Bush / White House,Slatersteven,N
Metro,Slatersteven,N
CBS News,GreenC bot,N
The Guardian,Slatersteven,N
CBS News,Slatersteven,N
Politico,Slatersteven,N
Time Magazine,Slatersteven,N
Talking Points Memo,Slatersteven,N
Democracy Now,Slatersteven,N
The Guardian,Slatersteven,N
CBS News,Slatersteven,N
Politico,Slatersteven,N
Time Magazine,Slatersteven,N
Talking Points Memo,Slatersteven,N
Democracy Now,Slatersteven,N
National Air and Space Museum,Skitash,N
The Independent,Skitash,N
Al Jazeera,Tpbradbury,N
US Department of Defense / Pentagon / DoD / Defenselink,Tpbradbury,N
KUT,Tpbradbury,N
Falmouth Patch,Tpbradbury,N
The Enterprise,Tpbradbury,N
BBC News,Tpbradbury,N
The Guardian,Tpbradbury,N
