Source,X,Y,Country,Media_Type
The New York Times,-410,140,USA,Global Media
The Washington Post,-360,210,USA,Global Media
The Guardian,-360,180,UK,Global Media
CNN,-360,370,USA,Global Media
Fox News,800,760,USA,Global Media
MSNBC,-640,500,USA,Global Media
CBS News,220,380,USA,Global Media
USA Today,-280,210,USA,Global Media
ABC News,-330,110,USA,Global Media
Bloomberg,-240,220,USA,Global Media
France 24,-175,100,France,Global Media
Al Jazeera,-320,470,Qatar,Global Media
BusinessWeek,-240,NULL,USA,Global Media
PBS,-240,100,USA,Global Media
Military Times,-110,100,USA,Global Media
Novinite,-80,270,Bulgaria,Global Media
The Independent,-360,500,UK,Global Media
BBC News,150,210,UK,Global Media
Los Angeles Times,150,100,USA,Global Media
San Francisco Chronicle,-370,100,USA,Global Media
U.S. News & World Report,-260,110,USA,Global Media
The Huffington Post,-640,360,USA,Global Media
NULL,NULL,NULL,NULL,Global Media
The Australian,370,520,Australia,Global Media
Asia Times,-80,410,Hong Kong,Global Media
The Wall Street Journal,420,240,USA,Global Media
Telegram & Gazette,NULL,NULL,USA,Global Media
Herald Sun,250,300,Australia,Global Media
News.trend.az,NULL,NULL,Azerbaijan,Global Media
International Herald Tribune,-50,100,USA,Global Media
The Christian Science Monitor,-70,70,USA,Global Media
Journal-Gazette,-70,100,USA,Global Media
The Atlantic,-330,100,USA,Global Media
Cape Cod Times,-50,160,USA,Global Media
NBC News,-360,100,USA,Global Media
The Sydney Morning Herald,-230,100,Australia,Global Media
The Jerusalem Post,290,340,Israel,Global Media
The Local Denmark,-300,170,Denmark,Global Media
Daily Star,-200,140,USA,Global Media
Hurriyet Daily News,550,500,Turkey,Global Media
The Star,600,500,Malaysia,Global Media
Chicago Daily Observer,NULL,NULL,NULL,Global Media
The Hill,40,220,USA,Global Media
DW,-250,90,Germany,Global Media
Iraqi News,590,500,Iraq,Global Media
The Spectator ,440,290,UK,Global Media
The Week,-620,170,USA,Global Media
UPI,160,100,USA,Global Media
Arab Times,NULL,NULL,Saudi Arabia,Global Media
Haaretz,-520,150,Israel,Global Media
Ynetnews,-360,140,Israel,Global Media
CBC News,-330,100,Canada,Global Media
Newsweek,280,260,USA,Global Media
The Nation,-640,190,USA,Global Media
Daily Telegraph,640,490,UK,Global Media
Time Magazine,-400,120,USA,Global Media
The Age,-600,190,Australia,Global Media
Free Internet Press,-390,100,USA,Global Media
El Pais,-250,100,Spain,Global Media
VOA,-80,100,USA,Global Media
