Source Name,Media Type,Count
ABC News,Global Media,3
Al Jazeera,Global Media,7
Amnesty International,NGO / Policy / Advocacy,1
Associated Press,Global Media,2
BBC News,Global Media,21
Bloomberg,Global Media,2
CBC News,Global Media,6
CBS News,Global Media,14
CNBC,Global Media,1
CNN,Global Media,28
The Chicago Tribune,Global Media,1
Fox News,Global Media,4
France 24,Global Media,1
The Huffington Post,Global Media,4
Human Rights Watch,NGO / Policy / Advocacy,2
Los Angeles Times,Global Media,3
MSNBC,Global Media,1
NBC News,Global Media,1
Newsweek,Global Media,1
ReliefWeb,NGO / Policy / Advocacy,1
Reuters,Global Media,4
San Francisco Chronicle,Global Media,3
Slate,Global Media,1
Snopes,Organization/Foundation,1
The Boston Globe,Global Media,1
The Economist,Global Media,1
The Guardian,Global Media,13
The Independent,Global Media,2
The New York Times,Global Media,31
The Wall Street Journal,Global Media,2
The Washington Post,Global Media,17
USA Today,Global Media,7
Brookings Institution,NGO / Policy / Advocacy,1
9/11 Commission Report,Official,19
WNEP,Global Media,1
ANSAMed,Global Media,1
Associated Press,Global Media,12
AFP (Agence France Presse),Global Media,1
Al Qaeda Now,Organization/Foundation,2
American Conservative,Global Media,1
Architectural Record,Organization/Foundation,1
Architecture Week,Organization/Foundation,1
Arlington National Cemetery,Official,1
ABC News Australia,Global Media,1
Ball State University,Academic / Journals / Books,1
Baudrillard,Academic / Journals / Books,1
Broadcast Engineering,Organization/Foundation,1
Broadcasting & Cable,Organization/Foundation,1
CBS New York,Global Media,1
Centers for Disease Control and Prevention,Official,1
Construction Equipment Guide,Organization/Foundation,1
Costs of War,NGO / Policy / Advocacy,1
DNAinfo New York,Global Media,1
Daily Mirror,Global Media,1
US Department of Defense / Pentagon / DoD / Defenselink,Official,1
Der Spiegel,Global Media,1
DW,Global Media,1
Discovery News,Global Media,1
Evening Standard,Global Media,1
Federal Bureau of Investigation,Official,2
Federal Emergency Management Agency,Official,1
Federation of American Scientists,NGO / Policy / Advocacy,2
Forbes,Global Media,1
Frontline,Global Media,1
Gallup,Organization/Foundation,1
Group of Eight,Organization/Foundation,1
ISNA,Organization/Foundation,1
India Abroad,Global Media,1
Institute for the Analysis of Global Security,NGO / Policy / Advocacy,1
Journal for the Psychoanalysis of Culture and Society,Academic / Journals / Books,1
Journal of Human Resources,Academic / Journals / Books,1
Journal of Performance of Constructed Facilities,Academic / Journals / Books,1
Journal of the American Medical Association,Academic / Journals / Books,1
Knight Ridder Washington Bureau,Global Media,1
Lower Manhattan Construction Command Center,Official,2
McClatchyDC,Global Media,1
Mesothelioma Center - Vital Services for Cancer Patients & Families,Organization/Foundation,1
Metro,Global Media,1
Monthly Labor Review,Official,1
NATO,Official,1
NPR,Global Media,2
NY1,Global Media,2
NYPD,Official,1
National Commission Upon Terrorist Attacks in the United States,Official,6
National Fire Protection Association,Organization/Foundation,1
National Geographic,Global Media,1
National Institute of Standards and Technology,Official,1
National Park Service,Official,3
New York City Fire Department,Official,1
New York Daily News,Global Media,7
New York Observer,Global Media,2
New York YIMBY,Organization/Foundation,1
New Zealand Government,Official,1
NewsHour,Global Media,5
Newsday,Global Media,1
Our World in Data,Organization/Foundation,1
PBS,Global Media,1
Patriot Resource,Organization/Foundation,1
Philadelphia Inquirer,Global Media,1
Pittsburgh Post-Gazette,Global Media,1
Politico,Global Media,2
Psychiatric Clinics of North America,Academic / Journals / Books,1
Psychology Today,Global Media,1
Purdue News Service,Academic / Journals / Books,1
Realty Times,Organization/Foundation,1
Rzeczpospolita,Global Media,1
Seattle Post-Intelligencer,Global Media,1
Sierra Club,NGO / Policy / Advocacy,1
Sunday Times,Global Media,1
The Biography Channel,Global Media,1
The Chief Leader,Global Media,1
The Christian Science Monitor,Global Media,2
The Conversation,Academic / Journals / Books,1
Daily Telegraph,Global Media,1
The Indian Express,Global Media,1
The Journal of Asian Studies,Academic / Journals / Books,1
The Mercury News,Global Media,1
The National Security Archive,NGO / Policy / Advocacy,1
The New Yorker,Global Media,2
The Observer,Global Media,1
The Port Authority,Official,2
The Seattle Times,Global Media,1
The Washington Times,Global Media,2
The Week,Global Media,1
The White House,Official,2
Time Magazine,Global Media,5
Time Out New York,Global Media,1
United States Department of Justice,Official,1
United States Department of Transportation,Official,1
Vanity Fair,Global Media,1
WABC-TV,Global Media,2
WNBC-TV,Global Media,1
WNYW,Global Media,1
WPVI-TV,Global Media,1
Washington Examiner,Global Media,1
Zee News,Global Media,1
stantec,Organization/Foundation,1
