Source Name,Media Type,Count,Supporting
The New York Times,Global Media,34,
The Guardian,Global Media,52,
BBC News,Global Media,46,
CNN,Global Media,50,
Reuters,Global Media,48,
Associated Press,Global Media,51,
Al Jazeera,Global Media,71,
The Washington Post,Global Media,15,
NPR,Global Media,8,
The Wall Street Journal,Global Media,8,
South China Morning Post,Global Media,2,
ABC News,Global Media,12,
CNBC,Global Media,3,
France 24,Global Media,8,
The Economist,Global Media,4,
The Times of India,Global Media,1,
NBC News,Global Media,15,
PBS,Global Media,2,
Sky News,Global Media,3,
Daily Telegraph,Global Media,3,
The Atlantic,Global Media,2,
Channel 4 News,Global Media,1,
USA Today,Global Media,1,
Bloomberg,Global Media,4,
Time Magazine,Global Media,2,
Financial Times,Global Media,8,
Vox,Global Media,5,
El Pais,Global Media,1,
Arutz Sheva (Israel National News),Global Media,1,
NDTV / Indian Express,Global Media,1,
CBC News,Global Media,2,
DW,Global Media,1,
RTE,Global Media,2,
Africanews,Global Media,1,
G1,Global Media,1,
Free Press Kashmir,Global Media,1,
The Independent,Global Media,3,
BreakingNews.ie,Global Media,1,
The New Arab,Global Media,5,
The Times of Israel,Regional / Local Media,53,
Haaretz,Regional / Local Media,22,
Ynetnews,Regional / Local Media,9,
Jewish News Syndicate,Regional / Local Media,4,
i24NEWS,Regional / Local Media,3,
+972 Magazine,Regional / Local Media,6,
Globes (Israel),Regional / Local Media,1,
The Jordan Times,Regional / Local Media,1,
Al Hadath,Regional / Local Media,1,
Middle East Monitor,Regional / Local Media,3,
Middle East Eye,Regional / Local Media,5,
Israel Hayom,Regional / Local Media,2,
Al Arabiya,Regional / Local Media,3,
Wafa,Regional / Local Media,1,
Asharq Al-Awsat,Regional / Local Media,2,
ElDiario.es,Regional / Local Media,1,
Mako (Hebrew),Regional / Local Media,1,
The Economic Times,Regional / Local Media,1,
Israel Democracy Institute,Regional / Local Media,1,
AOAV,Regional / Local Media,1,
Security Praxis,Regional / Local Media,2,
United Nations / UNAMI,UN / Intergovernmental,15,
UN OCHA,UN / Intergovernmental,5,
UNRWA,UN / Intergovernmental,6,
World Bank / EU / UN report,UN / Intergovernmental,1,
World Health Organization (WHO),UN / Intergovernmental,2,
International Committee of the Red Cross (ICRC),UN / Intergovernmental,3,
OHCHR,UN / Intergovernmental,6,
International Criminal Court,UN / Intergovernmental,4,
IPC (Famine Monitoring),UN / Intergovernmental,2,
ReliefWeb,UN / Intergovernmental,1,
UN Security Council,UN / Intergovernmental,1,
Amnesty International,NGO / Policy / Advocacy,16,
B’Tselem,NGO / Policy / Advocacy,4,
Human Rights Watch,NGO / Policy / Advocacy,5,
Refugees International,NGO / Policy / Advocacy,1,
Forensic Architecture,NGO / Policy / Advocacy,4,
Doctors Without Borders,NGO / Policy / Advocacy,2,
International Federation for Human Rights,NGO / Policy / Advocacy,2,
Committee to Protect Journalists (CPJ),NGO / Policy / Advocacy,1,
Physicians for Human Rights – Israel,NGO / Policy / Advocacy,1,
Arab Center Washington DC,NGO / Policy / Advocacy,1,
"Boston University, Intl Human Rights Clinic",NGO / Policy / Advocacy,1,
Israeli Government / gov.il / IDF,Official,13,
CIA World Factbook,Official,1,
Knesset.gov.il,Official,1,
Anadolu Agency,Official,2,
Hamas,Official,5,
Palestinian Authority,Official,1,
US Department of State,Official,1,
US Government / USAID,Official,1,
Bundesregierung (Germany),Official,1,
House of Commons Library,Official,1,
Saudi / Qatari Governments,Official,3,
Institute for the Study of War,NGO / Policy / Advocacy,2,
International Institute for Strategic Studies (IISS),NGO / Policy / Advocacy,2,
Brookings Institution,NGO / Policy / Advocacy,1,
Axis of Resistance / SUNY Press,Academic / Journals / Books,1,
Foundation for Defense of Democracies,NGO / Policy / Advocacy,1,
Modern War Institute,NGO / Policy / Advocacy,1,
The Watson Center,NGO / Policy / Advocacy,1,
The Lancet,Academic / Journals / Books,2,
Journal of Genocide Research,Academic / Journals / Books,5,
Journal of Public Health,Academic / Journals / Books,1,
American Journal of Intl Law,Academic / Journals / Books,1,
Routledge / Routledge Handbook,Academic / Journals / Books,2,
University of California Press,Academic / Journals / Books,1,
Yale University Press,Academic / Journals / Books,1,
Henry Holt and Company,Academic / Journals / Books,1,
Encyclopedia Britannica,Academic / Journals / Books,1,
Le Monde,Academic / Journals / Books,1,
Journal of Palestine Studies,Academic / Journals / Books,1,
Other Press (Gaza Faces History),Academic / Journals / Books,1,
Democratization Journal,Academic / Journals / Books,1,
Foreign Affairs,Academic / Journals / Books,2,
The Round Table: Commonwealth Journal,Academic / Journals / Books,1,
news.artnet.com,Academic / Journals / Books,1,
Pew Research Center,NGO / Policy / Advocacy,1,
