Source,Target,Relationship
CBC News,Donkey Hot-day,P
NPR,Donkey Hot-day,P
United States Department of Homeland Security,ArkadenBoden,P
US Department of Defense / Pentagon / DoD / Defenselink,ArkadenBoden,P
Federal Register,ArkadenBoden,P
Colorado Newsline,ArkadenBoden,P
NBC News,ArkadenBoden,P
The New Yorker,ArkadenBoden,P
Time Magazine,Grungeosmunge,P
PBS,Grungeosmunge,P
The Guardian,Grungeosmunge,P
BBC News,Grungeosmunge,P
The Conversation,Ishurio19,P
The New York Times,Cena332,P
CBC News,Marginataen,P
The New York Times,Ras09191,P
Cambridge University Press,Asilvering,P
Brookings Institution,Asilvering,P
9/11 Commission Report,Asilvering,P
National Institute of Standards and Technology,Asilvering,P
The New York Times,Asilvering,P
NPR,Asilvering,P
WPVI-TV,Asilvering,P
The Washington Post,Asilvering,P
ADL,DivineReality,P
ABC News,DivineReality,P
France 24,Listening Listner,P
Central Intelligence Agency,RoyalCream,P
Yale University Press,RoyalCream,P
CNN,ColdestWinterChill,P
CNN,WD45,P
The Washington Post,Bitsdotlies,P
The New York Times,Cdonovan01,P
The Guardian,Gjb0zWxOb,P
Fox News,Donkey Hot-day,N
CBC News,StefenTower,N
9/11 Commission Report,Grungeosmunge,N
The Guardian,Grungeosmunge,N
The Wall Street Journal,Grungeosmunge,N
Slate,Grungeosmunge,N
Daily Mirror,Grungeosmunge,N
New York Daily News,Grungeosmunge,N
Al Jazeera,Grungeosmunge,N
PBS,BretHarteChitown,N
National Institute of Standards and Technology,CommonsDelinker,N
Foreign Policy Association,HandThatFeeds,N
The New York Times,Nikkimaria,N
The New York Times,Remsense,N
The New York Times,Nikkimaria,N
Cambridge University Press,Nikkimaria,N
BBC News,Nikkimaria,N
Wired Magazine,Nikkimaria,N
Federal Bureau of Investigation,Nikkimaria,N
PBS,Nikkimaria,N
The New York Times,Nikkimaria,N
France 24,Nikkimaria,N
CBS News,Nikkimaria,N
Strategic Studies Institute (SSI),Nikkimaria,N
USA Today,Nikkimaria,N
CBS News,Nikkimaria,N
The Guardian,Nikkimaria,N
The Wall Street Journal,Nikkimaria,N
National Park Service,Nikkimaria,N
Cambridge University Press,PumaDark,N
Brookings Institution,PumaDark,N
9/11 Commission Report,PumaDark,N
National Institute of Standards and Technology,PumaDark,N
The New York Times,PumaDark,N
NPR,PumaDark,N
WPVI-TV,PumaDark,N
The Washington Post,PumaDark,N
ADL,Indiana6724,N
ABC News,Indiana6724,N
Centers for Disease Control and Prevention,Rodney Baggins,N
The New York Times,Dr vulpes,N
Central Intelligence Agency,That Coptic Guy,N
Yale University Press,That Coptic Guy,N
CNN,Slatersteven,N
The New York Times,Slatersteven,N
The Guardian,HandThatFeeds,N
